الاسم              , 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5
Teacher T, x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher L,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher E, x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher P,  , x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher B,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  , x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher I,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher Q,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher K, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher C,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher Y,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher O, x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher S,  ,  ,  ,  ,  , x, x, x, x,  ,  , x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher M, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  , x, x, x, x,  ,  ,  ,  ,  , x,  , x, x,  ,  ,  ,  ,  ,  
Teacher U,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  ,  , x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher G,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher Z, x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x,  ,  ,  ,  ,  ,  ,  ,  
Teacher AC, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  
Teacher D,  , x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  
Teacher AA,  ,  ,  ,  ,  ,  , x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  , x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
